Iteration,Residuum
0,1
1,0.5
2,0.25
3,0.25
4,0.1875
5,0.15625
6,0.125
7,0.1015625
8,0.08203125
9,0.06640625
10,0.0537109375
11,0.04345703125
12,0.03515625
13,0.0284423828125
14,0.02301025390625
15,0.01861572265625
16,0.0150604248046875
17,0.01218414306640625
18,0.009857177734375
19,0.007974624633789062
20,0.006451606750488281
21,0.005219459533691406
22,0.0042226314544677734
23,0.0034161806106567383
24,0.0027637481689453125
25,0.002235919237136841
26,0.0018088966608047485
27,0.0014634281396865845
28,0.0011839382350444794
29,0.0009578261524438858
30,0.0007748976349830627
31,0.0006269053556025028
32,0.0005071770865470171
33,0.00041031488217413425
34,0.0003319517127238214
35,0.00026855457690544426
36,0.00021726521663367748
37,0.0001757712525431998
38,0.00014220193043001927
39,0.00011504377835080959
40,9.307237178290961e-05
41,7.52971304791572e-05
42,6.0916658185306005e-05
43,4.9282611712442304e-05
44,3.987047040254765e-05
45,3.22558881293844e-05
46,2.6095561665329114e-05
47,2.1111752865010658e-05
48,1.7079766848837608e-05
49,1.3817821640671468e-05
50,1.1178852532545136e-05
51,9.043881676440435e-06
52,7.3166539713565015e-06
53,5.919297404677337e-06
54,4.7888121950112605e-06
55,3.87423044845292e-06
56,3.134318273256831e-06
57,2.5357167486861343e-06
58,2.0514379426295193e-06
59,1.65964815856956e-06
60,1.3426835648866486e-06
61,1.0862538221134699e-06
62,8.787978021951304e-07
63,7.109623565426659e-07
64,5.7518062879236e-07
65,4.653309034763353e-07
66,3.76460609241569e-07
67,3.0456303046211275e-07
68,2.4639666762471535e-07
69,1.9933909145564144e-07
70,1.6126871249522168e-07
71,1.3046912927805465e-07
72,1.0555174256854372e-07
